ID,Name
546,John Mini Distinctive Landscapes
548,YMCA Thomasville North Carolina
552,Brockman
554,New FMI Website
558,Richters Lawn Care
570,"Alvarado Jewlery, Inc."
572,Fahey Pest Management
576,Tolnitch Surgical Associates
578,Agropro LLC
580,Consolidated Pest
584,Brown Law
586,Andrews Landscaping
598,Woods &quot;A&quot; Lawnservice
600,O2 Energies Inc
602,Southern Spray Co
606,Hersch's Lawn Spray
614,McMaster Lawn and Pest
618,Center for Teaching Quality
620,The Green Team
622,Gamers Fitness Website
632,Best Yard
636,John Corrigan
642,Telair US Cargo Systems
646,DAG Website Redesign
648,Custom Personalized Lawns
650,YMCA of Broome
654,Living water
670,One Two Tree
672,McGuire Program
674,Cherokee Investment Partners LLC
676,Eastern Turf
680,Rivera MD Landscaping
682,Suburban Exterminating
684,Emerald Magic
698,Test
706,Summerville
708,Intelligrated Inc
710,Highpoint Lawn
714,Lamp Pest Control
716,Department of Neurology
720,Kinecticos Website
724,Carefree Rentals LLC
730,Good's Tree Care
740,Durham Rescue Mission
742,Kineticos
744,PDC
746,Project YES!
752,Motor & Equipment Manufacturers Association
758,Natural Misting Solutions
766,Sexton Landscape
770,I360gov.com Website Redesign
772,Chets
774,Calypsoul
776,REIT Group
780,Next Level College Sports
782,Wilson-Finley Company
792,A Touch of Color Painting
800,Duke Private Diagnostics Clinic
802,"Precision Walls, Inc."
804,Billsbills.com Responsive Website
806,Got Bugs
808,"Hunter Innovations, Inc"
810,Blue Wave Pressure Washing
814,Lawn Doctor IL
820,"Hwy 55 Burgers, Shakes & Fries"
832,HASTAC
834,Jobs
836,Immuno Reagents Website
838,Amberly
840,Davidson River Outfitters
842,Gecko Green Services
844,Frankel Staffing Partners
858,Whisk
864,NCPMA
866,Olive Glass & Marble
868,Major Panes
870,Sandhills Community College
872,"Poythress Construction , Inc."
874,JP Swain Company
886,"T1 Solutions , LLC"
894,American Homesmith LLC
896,Carolina Curb Appeal
898,Neuwave Systems
900,United Pest Solutions Inc
902,Hodges & Associates - Charlotte Lawyer
904,Duke Department of Pediatrics
906,Prep-Rite Painting Corporation
918,Puddle Baby
926,The Rand Bryan House
928,Surface 678
930,Horizon Forest Products
932,Couch Oil Company
934,A cut above the best lawn care
936,Charleston Management Corporation
938,Element Service Group
956,LawnDoctor Colorado
958,Yes Solar Solutions
960,Midtown Olive Oil
962,Beverly Taylor Designs
964,Osborne Painting Company
966,Scheutzow
968,Planned Parenthood South Atlantic
970,Triangle Brick Company
988,Advanced Auto
990,Jason Davidson
992,INDA
994,"12m, LLC"
996,Dr. Samer
998,Jeff- Mount Olive
1000,Duke University Department of Immunology
1002,Horizon Forest Products - Redesign
1020,Defense Pest Control
1022,Built to Last Transmissions
1024,Battleground Restaurants
1026,Davis Graphic Design
1028,Duke Department of Surgery
1030,Federal Acquisition Certification Academy (FAC Aca
1032,AquaTech Pool Management LLC
1034,Richmond Community College
1052,Jacksonvillenchomes.com
1054,Richland Pest and Bee
1056,Allen Kelly and Company Inc
1058,American Homesmith LLC - Retainer
1060,"MVP Plan Administrators, Inc."
1062,Kyle Larson Photography
1064,Tri-Arc Food Systems Inc
1066,Joint Venture Jewelry
1078,Call action restoration
1084,Olde Fayetteville Insurance & Financial Services I
1088,Hupman lawncare
1090,Institute for Southern Studies
1094,Super Net Usa
1096,Lawn Care Services
1098,Eagle USA
1100,Superior Lawn Co
1110,Harrison County YMCA Inc
1118,Danan Farms
1120,American South Termite and Pest Control LLC
1122,The AArdvark Pest management
1126,Duke Department of OBGYN
1128,LM Restaurants Inc
1130,Horizon Forest Products - Retainer
1132,FHI 360
1136,Richmond Community College - Retainer
1138,Central Bucks Family YMCA
1156,Duke University
1158,Southeast Florida
1160,Tissue Donation Program: Duke
1162,Adams Electric Company
1164,Duke Financial Aid- First gen initiative
1166,Tree Pros
1168,Smithereen
1170,Bay Six
1186,Express Signs NC
1190,JP Hale Pest Management
1192,Morse Clinics
1194,CARRAgroup
1196,Earth Smart
1198,Lawn Tech
1200,National Fit Testing Services
1202,Summit YMCA
1208,Http://www.trugreen-brainerdlakes.com/
1224,Bio Lawn
1226,Consolidated Laundry Equipment Inc.
1228,LogicNow Limited
1230,Platinum Pest Solutions Inc
1232,Jacobsen Landscaping
1234,Duke Fertility Center
1236,Duke Psychiatry
1238,Smiles
1256,Greenzonenc
1258,Blue Light LLC - Hodges
1260,251 Elmore
1262,Versacor Enterprises LLC
1264,Safe Labs
1266,US Pest Protection Inc
1268,Duke Eye Center - Retainer
1270,Lawn Doctor
1288,Fischer environmental
1290,Ernest Richardson
1292,Oral Surgery
1294,Horizon Pest Control
1296,Raleigh Radon
1298,Valley Radiology - Hodges
1300,JP Pest
1302,Davenport Landscaping
1320,1800packrat
1322,PetroChoice Brand
1324,Angelo Giovinazzo Jr
1326,The Pied Piper
1328,NCPHP
1330,"MPEG LA , LLC"
1332,Big Time Pest Control
1336,Pam Maher
1348,Austin Somers
1350,Heartwood Pine Floors
1354,Duke Gardens
1356,Dial Pest Control Inc
1360,NCHFA-Marketing
1364,Fuqua School of Business
1366,Bugmobiles
1378,Extreme Green Lawns
1384,North Carolina Railroad Company
1386,Chad Willett
1388,Custom Bedbug Inc
1390,Scott Snyder
1392,Heritage Cheshire
1396,Revive Depot
1398,Metro Greenscape
1414,Duke University - Graduate Medical Education
1416,Gemtek Pest Control Inc
1418,Aggieland
1420,Sound Pest
1422,DeWaynes
1424,Scotts NWA
1426,Duke Clinical Research Institute
1428,Pest RX / CT's Local Exterminator
1438,Valley Regional Imaging
1448,Proficient Health - Site Updates
1450,SES Termite & Pest
1452,National Coatings
1454,Duke Executive Health Program
1456,Killers Pest Control
1458,Relias Learning
1460,Ziehler Landscaping
1474,Cryonite
1480,Dental Power Inc
1482,The bug man
1484,NPMA
1486,The Hutchens Law Firm P.A
1488,Jalbas
1490,No Bug Pest Control
1492,Cuberis
1508,Bama Exterminating Company
1510,Scottsdale Gold and Silver
1514,Midtown Olive Oil - Retainer
1516,Prince Charles Hotel
1518,Best Lawn Care
1520,Prosite Pest Control
1522,Vpgsensors
1524,POP Medical
1542,Epcon Lane Pest
1544,Hoffer Pest Solutions
1546,Sprague Pest Solutions
1548,SPRI Clinical Trials
1550,Carolina Dental Arts
1552,Fairway Home Detailing
1556,BP Studios
1558,JP McHale Pest Management Inc
1574,EnviroCon Termite & Pest Inc
1576,Saigh in Humanity
1578,Mark Graff
1580,Wake Orthopaedics LLC
1582,Hodges & Associates - Hinkamp Spring
1584,Centum Real Estate Group LLC
1586,Duke Integrative Medicine
1598,Duke Personal Finance
1604,A&C Pest Management Corp
1608,Acadian Industrial Textiles
1610,Brian McMinn
1612,Dakota Funds Group
1614,ChannelAdvisor
1616,Ziehler Pest Control
1632,Hodges: Kids In Sports
1636,Hodges - City of Fayetteville
1638,Parents for Educational Freedom
1640,FanDaddy
1642,Springtime Landscape & Irrigation
1646,Department of Health and Human Services NC
1648,Rosemary Godwin Law
1652,Creech Chiropractic
1660,Engage-displays
1662,Commonwealth of Massachusetts
1668,The CARE Project
1670,Hanks Mower
1672,The Raleigh Paint Contractor
1678,Capital City Curb and Gutter
1680,PB Solutions
1692,The Innovators Forum
1694,Earthwise Pest
1696,Probe-A-Load
1698,Duke Division of MS and Neuroimmunology
1700,Touch America
1702,Duke Health and State Government Relations
1720,Wake Tech
1722,JNCC Centennial
1724,Duke Fertility Center- Retainer
1726,Purple Creek
1728,Teach First
1730,Playing Ground Puzzles
1732,"Canady & Son Exterminating, Inc."
1734,Bacha Inc
1752,Agronomic Lawn Management
1754,Cavins Business Solutions - Website
1756,NCHFA-Development
1758,Real McCoys
1760,Scott Emerson
1762,The Bug Master
1764,Hodges & Associates: McCormick Farms
1782,Howard Sykes
1784,All Good Services
1786,Smithereen Pest Management
1788,Lane And Associates
1790,Mosquito Max
1792,Wavery Hematology Oncology
1794,Arby
1796,Critter Eaters Pest and Lawn
1814,Kilauea Pest
1816,Hodges & Associates - Ben Goetz
1818,Pest Tech Inc
1820,Homestead Pest Managemnet
1822,Best Exterminating
1824,Historic Properties Ltd
1826,Triangle Arthritis and Rheumatology
1828,Duke Human Vaccine Institute
1846,Black's Pest (Portland)
1848,Clear Defense Pest Control
1850,Mosquito Authority
1852,Specialized Pest and Lawn
1854,PCI Pest Control
1856,Ochoa Imports and Distribution
1858,Lakewood Exterminating
1860,Las Vegas Pest Control
1878,Perschel and Meyer
1880,Planet Fitness Raleigh
1882,Mosquito Joe of Buffalo
1884,Stern Environmental Group
1886,Hodges - Valley Cardiology
1888,GreenStar Termite & Pest Control
1890,Pave Rock
1892,BedBug Central
1910,"Veritas Collaborative, LLC"
1912,Hodges - McFayden and Sumner
1914,Arrow Exterminating
1916,Tuxedo Mosquito Control
1918,Best Lawn Care - Sprowt
1920,Lenegar Pest & Termite
1922,RK Environmental Services
1924,Pest Control Experts Chicago
1942,Haramis Electric
1944,Getem Services
1946,Rotler Pest & Lawn
1948,Hodges and Associates - Jackson Hewitt
1950,Weaver Exterminating Service
1952,Paladin Pest Control
1954,Solutions Pest & Lawn
1956,Orkin
1974,Kenneth
1976,Snow Creek Inc.
1978,Piney Orchard Roofing
1980,Green Touch Lawn Service
1982,Brown Exterminating
1984,ABC Home & Commercial Services
1986,Exterminating Unlimited Inc.
1988,Technical Pest Solutions
2002,Homearise.com
2006,Impact Landscape
2008,Pierce Group Benefits LLC
2012,The Bug Bomber
2014,PestCo Complete Facility Care
2016,706 Lawn Care
2024,Zip Zap Pest Control
2036,Continental Termite & Pest Control
2038,Southeast Florida Pest Control
2040,Leupitz Pest Control
2042,Stern and Associates PLLC
2044,Blue Beetle Pest
2046,Protec Pest Control Services
2048,Midwest Pest Control
2052,KnK Landscape
2068,Good Earth Pest Company
2070,Isabel SAMOVSKY
2072,Wolfe Financial
2074,Residex
2076,Pestmax Control Solutions
2078,Ecola Services
2080,BASF
2082,SOS Pest
2100,Kurt Berninger
2102,Call Relaible
2104,NAMI North Carolina
2106,Bel-O Pest Solutions
2108,Charles Pest Control
2114,Cross
2122,American Pest Professionals
2130,Bayer
2132,The Webb Law Firm P.C
2134,Magic Pest Management LLC
2136,Raleigh Photo Booth Fun
2140,Insects Limited
2142,KillGerm Group Unlimited
2144,"Fuentek , LLC"
2146,Landscape Plus LLC
2162,McCall Service
2164,Craft Homes
2166,Pest Control by Green Giant
2170,Bay Automotive
2172,Duke Center for Genomic and Computational Biology
2174,Massey Services
2176,D.O.A. Pest Control
2178,"Safer Home Services, LLC"
2190,"Pratt Pest Management NW, Inc."
2196,Assurance Recycling
2200,Empire Properties
2202,Rose Pest
2204,PestCO Sas
2208,SenSci
2210,Bug Hunters Pest Control
2218,Vector Stomp
2220,"Knock Out Bugs, LLC"
2226,Mikels & Jones Properties
2228,A way with Numbers
2234,Hinkamp Jewelers
2236,Scher Zinger Pest
2238,Hampton Pest
2244,Standard Pest Control Inc
2248,"Bug Authority, Inc."
2260,Heart of the Valley YMCA
2264,The Blue Collar Consulting Group
2266,Delta Termite & Pest Control
2268,MSF Solutions
2270,Orkin India
2272,Stinger Pest Solutions Inc
2274,Marlowe Partners
2276,Jays Pest Control
2292,"ICS Support , Inc."
2294,Aesthetics Guru
2298,Hinnant Family Dentistry
2300,The Bed Bug Analyst
2302,Ecolab Pest Elimination
2304,Melanie Harrison
2306,The Bugman Pest Management
2308,EcoCare Pest Solutions
2326,Asa Beavers
2328,Next Level Academy
2330,RTE Printing
2332,Pest Control Albania
2334,Chem-Tech Termite & Pest Control
2336,Edge The Service Company
2338,Curtis Pest Control Inc
2340,Green Pest Solutions
2358,Duke Law School
2360,"D's Pest Control , Inc."
2362,Ace
2364,"Government Liquidation , LLC"
2366,"BCI, Inc."
2368,Pest Control Technicians Inc
2370,Ataway Corp
2372,Cirino Exterminating
2390,Smiling Dog Landscapes Inc
2392,Paradise Pest Control & Fertilizer
2394,Sure Thing Pest Control
2396,Living Forward
2398,Prostar pest service
2400,American Turf & Tree Care
2402,Free Spray Lawn Care
2420,Wealthdepot
2422,Erie Turf
2424,Capital K9 Pest Solutions
2426,Great Lawns
2428,LCS Lawn and Tree Services
2430,Mitchell Pest Control
2432,Insight Pest Solutions
2450,Pest Control
2452,Paradise Lawns Inc
2454,Broccolo Tree
2456,"Walk By Faith Landscape, LLC"
2458,IPM Pest Control
2460,Turner's Pest Control
2462,Fisher Pest Management Inc
2480,Promower
2482,Blue Sky Pest Control
2484,Curtis Pest Termite & Animal Control
2486,Dominion Pest Control LLC
2488,All n one
2490,McKay Nursery Company
2492,Pest Control Solutions & Services
2494,New leaf landscape management
2512,ValuePest LLC
2514,Envirocare Outdoor Living and Pest Solutions
2516,Dodson Bros. Exterminating Co.
2518,Stride Pest Control
2520,Mccoy Horticultural Services
2522,CLIN Fumigaciones
2524,Payne Pest Management
2542,Greg's Grass & Landscaping
2544,Mosquito Joe
2546,Eliminate Em
2548,Freedom Pest Control
2550,Truly Nolen Inc
2552,BioScapes LLC
2554,Peterson Turf
2556,Hiig-cru
2574,Coyne Pest Control LLC
2576,Mantis Pest Solutions
2578,SHs Pest Control Corp
2580,Great Lakes Pest Solutions
2582,Xtreme Lawn Care
2584,"Hortico, LLC"
2586,Edge Pest Control
2604,"EcoStar Pest Management, Inc."
2606,Rainscapes
2608,AntiPest
2610,Markdnet
2612,"Thrasher Termite & Pest Control, Inc."
2614,ASE ILLINI-SCAPES INC
2616,N/a
2618,Fox Pest Control
2636,LAWN STYLISTS
2638,Kinnucan Company
2640,CSI Home and Commercial Services
2642,Bulldog Pest Control LLC
2644,"MRW Lawns, Inc."
2646,LawnSavers Plant Health Care Inc.
2648,Common Grounds Landscaping
2666,Vio
2668,PLC
2670,Southern Roots Landscape
2672,Standard Pest Management
2674,Smithereen Pest Management Services
2676,Seventh Son Termite & Pest Mgmt
2694,"ABC Exterminating, Inc."
2696,TruGreen- OLD
2698,Uyeta Landscape & Maintenance
2700,Din
2702,Pointe Pest Control
2704,Atomic Lawncare
2722,"Colony Pest Management, Inc.- OLD"
2724,Hydrex Pest Control
2726,Moster Turf
2728,Sound Pest Control
2730,"Modern Exterminating Company, Inc"
2732,Masters Touch Pest Control- OLD
2750,Blades of Green Inc
2752,Croach
2754,Getem Services- OLD
2756,Roper Lawn and Landscape
2758,DNC
2776,Nature First Pest
2778,Sexton landscapes- OLD
2780,AAA Pest Pros Inc
2782,Anti-Pesto Bugkillers Company
2784,Heffner Landscaping
2786,Terminix Triad- OLD
2788,Corbett Exterminating- OLD
2790,Oasis Landscapes & Irrigation
2808,Indiana Pest Control
2810,"Mountain Pest Control, Inc."
2812,Eden Pest
2814,Pest-X Exterminating Inc- OLD
2816,ECI Pest Control
2818,Zoellner Exterminating
2822,Budget Pest Control
2832,Acme Exterminating Corporation
2834,Dominion Pest Control Services INC
2836,Tri-Cities Pest Detective
2838,Intechgrity (Nephew)
2852,The Pest Destructo Co
2854,Chatham Recovery
2856,Global Safety Management
2862,Herb Hovey
2864,Brian Center Health & Rehabilitation Inc
2868,Southwind Pest & Termite
2870,Rustic Countrysides LLC
2882,United Pest Solutions
2884,"Weather Shield Roofing Systems, Inc."
2886,SPC Mechanical
2888,Professional Pest Control
2906,Absolute Pest Management
2908,Varment Guard- OLD
2910,Smithereen- OLD
2912,A&C Pest Management Corp- OLD
2914,Target Pest Solutions
2916,Price Brothers Inc
2920,Invader Pest Management- OLD
2928,Spring Touch Lawn & Pest Control
2938,Pride Plumbing
2940,JP's Plumbing
2942,Alpha Organics- OLD
2944,Carter Pest Control
2946,Thomas PC
2948,Wake Pro Lawn Care - OLD
2968,Swingle Pest
2970,Rogers Mechanical
2972,Broken Arrow Pest Control
2974,Sweetwater Landscapes
2976,Coffman Plumbing
2978,"Fischer Environmental Services, Inc. - OLD"
2980,Halt Pest Control
2996,Joey's Plumbing
2998,IMOCO Inc
3000,Varment Guard
3002,Patriot Home Services- OLD
3004,Enviropest Pest Control Services Inc
3006,"T.M. Caldwell Plumbing, Inc"
3008,Dynamic Pest Control
3022,McClintock Heating and Air
3024,Griffin Heating and Air
3026,Nazo Landscaping Inc
3028,Pipeworx Plumbing
3030,Shumate Air Conditioning/Heating
3040,Fischer Environmental Services
3044,"Weeks-Williams-Devore , Inc."
3046,A & L Plumbing
3048,Express Plumbing
3050,Progressive Service Company
3060,GSM Services
3064,Sparrow & Sons Plumbing
3070,Ohio Turfgrass Foundation
3072,Raleigh Heating & Air
3076,Mike's Landscaping
3078,Budget Rooter Plumbing Company
3082,Bloom Pest Control & Crawl Space Services
3088,Turf Tenders
3092,Invader Pest Management
3098,The Killers
3100,Fontaine Landscaping Inc
3102,Advanced Integrated Pest Management
3110,Master's Touch Pest Control- OLD2
3114,"Terminix Bend, OR"
3116,B & T Pest Control
3118,Pope Landscape Irrigation Company
3130,Ultimate Pest Control
3132,Bowman Mechanical Services
3140,Natural Pest Company
3142,Thermo Direct
3144,Alpha Organics
3152,Stern Environmental
3154,Professional Termite and Pest Control
3158,Pest Control Nigeria
3164,Bugaboo pest control
3172,A&C Pest Management Corp- OLD2
3174,Lewis Cobb
3178,Kenney's Pest Control
3182,35 North
3184,Dominion Pest Control
3188,Calebs Country Services
3196,ATL Lawn Care
3198,American Pest
3200,A-Action Pest Control- OLD
3204,Hackman Lawn and Landscape
3218,Delsea Termite and Pest Control
3222,Special Care Lawn & Landscapes
3224,OPC Pest Control
3226,Majestic Stone Imports
3228,Wise Landscaping
3230,Thrasher Landscape
3232,Custom Turf Inc
3234,Adcock
3248,"American Pest Management, Inc."
3254,Miller the Killer- OLD
3256,Decor Group
3258,Assured environments
3260,West Pest Control
3262,Gendron's Landscape Construction
3264,Prestige
3266,Kyle's Landscaping
3280,American Pest- OLD
3286,Just Hardscape & Design
3288,T3 Pest
3290,LHL Scapes
3292,Clark's Cutting Edge
3294,Hopper Pest Control
3296,Bath Landscape and Irrigation
3300,Willamette Landscape
3312,Anchor Pest Control
3316,Guardian Pest Solutions- OLD
3320,Bellantoni
3322,C & C landscape
3324,Klausing Group
3326,"Colony Pest Management, Inc."
3328,Carrington Lawn and Landscape
3334,Prime Lawn
3342,John Sanders
3348,Parascape
3350,Tim's Complete Landscape Management
3352,Maine Turf and Greenery
3354,Master Lawn
3360,Ace of Blades
3362,AK Irrigation
3366,Complete Property Maintanence
3372,SHS Pest Control Corporation
3378,Siteworks
3382,Scene Corp Landscape and Construction
3384,Grass Masters
3386,"Midwest Pest Control, LLC"
3388,Pest And Termite Consultants Inc
3394,Landscape Details
3400,Hapner Lawn and Landscape
3402,Wake Pro Lawn Care
3404,Green Blade Lawn
3410,Ecolandcare LLC
3420,Panama City Municipal
3422,J & J Exterminating
3426,Thompson Nursery Inc.
3428,Thorn Pest Solutions
3432,RYCO Landscaping
3434,Seneca Landscapes
3436,Sunrise of Nashville
3438,Master's Touch Pest Control
3452,Arbor Care
3454,Alford Home Solutions
3456,Johnson Outdoors
3462,Walker Pest Management
3464,The Greenery
3466,Inside Out Landscape & Hardscape
3468,Ace Pest Control
3470,Corbett Exterminating
3482,Yard Master Inc.
3490,Iron Oaks Landscapes
3492,Cowley's Termite & Pest Services
3494,Celement Brothers Lawn & Landscape
3496,Steven's Whack & Sack Inc
3514,Croy's Mowing
3516,Bennett Termite & Pest Solutions
3518,Jetter Services LLC
3520,Cooper Pest Control
3522,B & A Property Maintenance
3524,Suburban Pest Control
3526,Lewis Lawn Care and Masonry
3544,TruForce Pest Control LLC
3546,"Innovative Pest Solutions, Inc."
3548,Advantage Pro Services
3550,Eastern Pine Inc.
3552,Sage Pest Control
3554,Frontier Landscapes
3572,Ecolawn Inc
3574,Rottler Pest & Lawn Solutions
3576,TruGreen
3578,Rid-a-Bug
3580,NutriGreen
3582,Lawn Cure
3584,Greenix
3594,Bill Ballard
3596,Kol Tuv
3606,Patriot Home Services
3610,Alvin Pest Control
3612,Catseye
3616,The Chanticleer Foundation
3618,Byrd Pest Management
3622,Dennis Hange
3630,"Loyal Termite & Pest Control, Inc.- OLD"
3636,Mesa Turf Masters
3638,855bugs.com - TB
3642,Lawn Connection
3644,Appalachian Valley Landscape
3646,Green Scene
3648,Accurate Termite & Pest
3664,Kyle Flanagan - TruGreen
3666,Natran Green Pest Control
3670,Integrated Lawn & Tree Care
3672,McCauley Services
3676,Drew's Lawn and Snow
3678,LawnSavers Plant Health Care Inc. - January
3680,Ross Solutions
3684,Terminix Triad
3696,The Masters Lawn Care
3700,Royal Greens Inc
3704,Copesan
3706,Pro Pacific Pest Control
3712,EcoArmor Pest Defense
3714,Dean's Services
3718,Ruppert Landscape Inc
3728,Evolve Pest Control
3730,Pest Plus
3732,Pest Solutions Inc.
3738,All-American Pest Control
3740,Ultra Pest Control
3744,Western Pest Control
3754,Terminator Pest Control LLC
3760,Pest-X Exterminating Inc
3764,Mesa City
3766,"Loyal Termite & Pest Control, Inc."
3768,Picket Pest Control
3770,GoBig Films
3774,Miller the Killer
3784,Local Plumbing Group
3788,Anti-Pest
3790,Orkin AZ
3796,Care Pest Control
3800,Bee Master
3802,"1st Defense Termite & Pest Control, Inc."
3806,Garage Door Repair
3814,"Bug Zero, Inc."
3820,JHTG Inc.
3824,Connoly Pest
3826,Natural Resources Pest Control
3828,Grand Tidwell Pest
3830,1st Response Pest Control Inc
3834,49'er Pest Control
3842,Payback Pest Control
3852,Yankee Pest Control
3854,Amerit
3856,Harpoon Pest Solutions
3858,"Ecolab Manufacturing, Inc."
3860,4-Less Termite Control
3862,Pied Piper Tim Whitt
3864,TM Premier Services
3870,"ScorpionTech Termite & Pest Control, Inc."
3884,"5 Star Environments, LLC"
3886,McClintock HCE
3888,Erbert Lawns
3890,Nu-Way Pest Control
3892,Rentokil
3894,Senske Pest Control
3898,Progreen Inc
3910,Bird Barrier
3916,Fatma Abdulrehman
3918,Pendergrass & Holder Plumbing
3920,855Bugs.com of Central Texas
3922,Rentokil - Ehrlich
3924,Trius Pest Management
3926,Pestco Professional Pest Control
3930,Apex Pest
3936,"Ky-Ko Pest Prevention, Inc."
3942,Nature's Balance
3950,Tony Kulpa
3952,"Exterminating Unlimited, Inc."
3954,Presto-X
3956,A & M Pest Control
3960,Rentokil - Gold Seal Pest Control Company
3964,Erik Arrabal
3970,"All Clear Pest Control, Inc."
3976,Moore Green
3982,"A 1 No Nonsense Pest Control, Inc."
3986,Potomac Company
3988,ERX (Emergency Restoration Experts)
3990,R&B Pest Control
3994,Massey Services Inc.
3996,Myles Pest Service
3998,Yavapai-Apache Nation Tribal Housing
4004,Guardian Pest
4014,Morris Pest Control
4016,A Ablaze Pest Control Company
4022,"Cooks Termite & Pest Control, Inc."
4024,McNeely Pest Control
4026,Guardian Pest Solutions
4030,Town of Gilbert
4032,"Orkin Exterminating Co., Inc."
4040,1st Choice Pest Control LLC
4044,360 Degree Solutions IPM
4046,"Amendt Pest Control Co., Inc."
4054,Bill's Pest & Termite Control Inc
4060,Champions Pest Control
4062,Pride Industries
4066,4 Way Pest Control
4068,Carpet Tech DBA Bug Tech
4080,Patterson Pest Patrol
4082,Certified Termite & Pest Control
4088,Metro Exterminating
4090,"McCluney Pest Control, Inc."
4092,"Gecko Pest Control, LLC"
4094,Pest Control Technologies of Dallas
4098,Gillen Pest Control
4108,Absolute Termite & Pest Ctrl
4116,Combat Pest Control
4118,Pro-Tex Pest Management
4120,Kerrville Pest Control Inc.
4122,Any Season Pest Control
4124,"Shamrock Pest Control, Inc."
4128,JNJ Pest Control & Grounds Care
4142,"ABC Pest, Pool & Lawn Services"
4146,Pestmaster Services
4150,Perez Pest Control
4152,"Orkin Pest Control (SNC, Inc)"
4154,Rathjen Pest Control Inc
4156,All-Chem Pest and Turf Solutions
4158,"Finley Termite and Pest Control, Inc."
4168,Beneficial Pest Control
4178,Pest Arrest
4180,Simon's Pest Control Inc
4182,Shivco Termite & Pest Control
4184,Faulkner Pest Service
4186,"Killum Pest Control, Inc."
4188,Mister-B Pest Control
4206,Southeast Service Corp
4208,Golden Services
4210,Orkin Commercial Services
4212,Protex Service Inc
4214,Frontier Pest Control
4216,Pest Management Services
4220,King's Pest Control
4234,"National Bugmobiles, Inc."
4236,AccuCheck Pest Control
4240,Cummins Pest Control
4244,A-Tak Pest Control Inc
4252,Rasberry's Pest Professionals
4260,"Keine Pest, LLC"
4266,Kapchinski Pest Control
4268,Binford Insect Control Service
4270,AAA Quality Termite & Pest Control
4274,Excalibur Pest Control Inc.
4276,Buzz-Off Pest Service
4278,Preferred Pest Control
4288,Prestige Pest Control
4292,Creative Termite & Pest Control
4296,Coyle's Pest Control
4298,Kevin's Pest Control
4302,Protex Pest Control
4306,K&J Control Inc./Johnson Pest Control
4308,EZB Pest Control Inc.
4312,Gary's Termite & Pest Control
4314,D.M. Pest Control
4324,"Pestop, LLC"
4328,Reliant Pest Management
4334,Orgrow Lawn Care
4336,Lone Star Pest Control
4338,4-Way Inc
4340,A-Mark Pest & Bird Management Inc.
4346,L & L Pest Control
4352,NuWay Pest Control
4362,Selesky Termite & Pest Control LLC
4364,Carson Pest Control
4366,Corpest Service Co.
4368,Dana Palmer Company
4370,Everett's Pest Management
4372,OnDuty Pest Control
4374,Pest Patrol
4386,Flower Mound Pest Control
4392,Terminix
4396,"Oliver Goldsmith Company, Inc."
4398,Ocelli Home Services
4400,Modern Pest Control
4404,Absolute Defense Environmental Services
4406,American Pest Control
4410,"Reliant Pest Control, Inc."
4414,Cross Exterminating Inc
4424,Goss Pest Control
4426,Caprock Inspection Services
4432,Shoop's Texas Termite Control Co
4434,Alpha Ecological
4436,Kilgore Pest Control
